SD-JWT,CSD-JWT,MERKLE,BBS+
1350,345,1348,260
1363,347,1345,260
1361,346,1351,260
1355,330,1349,260
1358,333,1359,260
1350,340,1353,260
1354,331,1348,260
1353,349,1368,260
1361,348,1348,260
1363,347,1362,260
1344,351,1351,260
1340,342,1361,260
1342,340,1356,260
1357,350,1372,260
1363,340,1360,260
1352,354,1362,260
1350,342,1345,260
1354,347,1346,260
1362,347,1346,260
1354,349,1355,260
1356,339,1356,260
1348,346,1363,260
1358,338,1358,260
1358,344,1368,260
1357,344,1365,260
1363,345,1349,260
1358,333,1356,260
1358,350,1352,260
1358,337,1365,260
1353,349,1354,260
1352,340,1359,260
1351,344,1350,260
1367,343,1361,260
1356,333,1363,260
1359,354,1357,260
1362,347,1358,260
1357,343,1348,260
1366,350,1358,260
1355,343,1359,260
1353,349,1370,260
1353,339,1352,260
1351,343,1352,260
1357,349,1359,260
1348,347,1350,260
1357,334,1365,260
1353,345,1362,260
1353,336,1356,260
1351,354,1354,260
1354,336,1352,260
1358,342,1351,260
1353,339,1371,260
1364,350,1348,260
1365,336,1357,260
1354,333,1344,260
1369,338,1363,260
1360,339,1361,260
1344,339,1351,260
1342,352,1359,260
1358,333,1353,260
1360,339,1355,260
1349,338,1354,260
1348,338,1361,260
1361,339,1360,260
1350,339,1357,260
1357,346,1345,260
1350,338,1355,260
1356,353,1349,260
1356,344,1353,260
1365,355,1360,260
1348,338,1362,260
1353,344,1360,260
1363,329,1363,260
1354,352,1369,260
1354,338,1344,260
1358,335,1345,260
1352,343,1361,260
1357,345,1356,260
1356,337,1357,260
1364,342,1362,260
1366,339,1356,260
1357,344,1355,260
1348,351,1361,260
1358,349,1365,260
1356,341,1352,260
1358,343,1360,260
1352,330,1353,260
1353,337,1358,260
1357,344,1352,260
1353,351,1352,260
1362,340,1359,260
1363,345,1352,260
1372,340,1360,260
1356,339,1359,260
1366,343,1369,260
1357,356,1349,260
1359,335,1353,260
1351,344,1363,260
1366,350,1355,260
1359,348,1368,260
1354,340,1365,260
