SD-JWT,CSD-JWT,MERKLE,BBS+
32,528,35,1078
32,548,39,1462
32,564,48,1864
33,582,55,2220
34,587,64,2626
35,606,50,3018
35,626,44,3363
36,634,61,3749
37,644,73,4137
37,653,80,4562
38,675,83,4957
38,692,60,5285
39,697,83,5665
40,708,48,6043
40,730,81,6430
41,732,65,6814
42,752,96,7197
42,764,66,7657
44,795,61,8040
44,808,99,8423
44,802,61,8716
45,818,89,9210
46,851,67,9478
46,851,59,9874
47,864,77,10341
48,896,79,10763
48,899,64,11137
50,921,119,11417
49,924,95,11772
49,938,119,12178
50,962,98,12673
51,978,75,12998
52,951,66,13313
52,940,83,13717
52,957,68,14072
53,967,120,14592
54,993,72,14847
54,990,64,15327
55,1014,116,15740
56,1025,96,16130
56,1036,83,16509
57,1052,81,16897
57,1058,85,17132
58,1079,75,17511
58,1068,88,17893
58,1081,72,18470
60,1106,78,18829
60,1113,76,19031
60,1116,90,19420
61,1123,110,19974
61,1141,78,20380
62,1169,92,20736
62,1181,74,21094
63,1196,94,21523
64,1196,101,21889
64,1209,143,22270
65,1227,162,22704
66,1240,107,23034
66,1245,84,23412
67,1256,92,23800
67,1273,111,24002
67,1263,101,24390
67,1285,102,24786
68,1287,105,25371
70,1323,141,25540
69,1316,101,26136
72,1348,85,26532
72,1360,131,26925
72,1363,114,27307
73,1380,124,27693
73,1396,129,28062
74,1400,125,28209
73,1393,139,28823
75,1423,117,29195
75,1431,99,29643
75,1446,103,29737
75,1438,113,30375
76,1465,150,30730
77,1476,107,30886
77,1478,91,31532
77,1480,125,31658
78,1488,124,32038
78,1529,104,32417
79,1524,102,32795
79,1531,98,33180
80,1540,98,33791
82,1575,301,34205
82,1585,144,34335
81,1573,97,34964
82,1608,167,35343
82,1604,105,35476
83,1602,173,35851
84,1619,105,36510
85,1665,123,36628
85,1652,164,37029
85,1656,108,37675
86,1692,140,37767
86,1685,129,38155
87,1693,162,38540
87,1705,109,39173
