SD-JWT,CSD-JWT,MERKLE,BBS+
49,78,52,2408
50,127,53,2798
50,197,56,3184
51,253,56,3519
51,288,58,3953
51,381,58,4340
52,421,58,4666
53,500,61,5048
54,573,61,5426
54,643,63,5876
54,668,63,6264
55,813,61,6592
55,863,63,6952
56,951,64,7340
56,921,65,7721
57,1082,65,8102
57,1072,66,8484
58,1173,66,8972
59,1301,68,9342
59,1365,67,9724
59,1353,67,10013
59,1434,69,10498
60,1571,68,10775
61,1570,70,11176
61,1640,71,11653
62,1690,73,12041
62,1866,74,12424
62,1819,85,12685
63,1942,75,13071
64,2021,75,13552
65,2092,74,13954
65,2188,74,14351
65,2298,77,14601
66,2250,80,14978
66,2368,77,15365
67,2407,81,15888
68,2517,78,16130
68,2563,79,16660
69,2641,80,17014
69,2739,82,17381
69,2809,80,17770
70,2779,81,18168
70,2916,81,18564
71,3093,83,18810
71,3013,82,19187
71,3160,84,19731
73,3234,83,20094
73,3274,83,20334
73,3318,89,20717
73,3408,86,21251
74,3461,87,21643
75,3515,86,21996
75,3766,88,22419
76,3828,88,22757
77,3832,88,23143
77,3844,89,23560
78,3875,91,23920
79,4055,90,24287
79,4064,92,24682
79,4105,91,25060
80,4146,92,25297
80,4163,95,25676
81,4192,94,26060
81,4415,93,26642
82,4537,96,26829
82,4570,96,27407
83,4584,97,27800
84,4586,99,28180
84,4698,103,28574
85,4894,103,28945
85,5015,99,29332
86,4914,99,29502
86,5079,103,30107
87,4979,100,30440
87,5280,100,30826
87,5266,101,31029
87,5294,105,31603
89,5338,105,31997
89,5445,104,32179
89,5426,104,32745
89,5535,103,32948
90,5571,105,33315
91,5665,105,33692
91,5793,108,34078
92,5894,104,34482
92,6007,108,35032
93,5711,108,35438
94,5915,106,35608
94,6196,109,36234
96,5981,109,36616
95,6170,107,36781
96,6325,109,37154
96,6362,111,37789
98,6587,110,37903
97,6378,110,38283
98,6680,115,38903
99,6592,115,39102
99,6749,112,39457
99,6857,113,39813
100,6763,116,40388
